nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date,our_name,full_name,reg_code
1.2892,1.6605,1.78473795,0.0046758105,2025-11-14,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2832,1.6545,1.7764317,0.0055638273,2025-11-07,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2761,1.6474,1.76660262,0.0042496262,2025-10-31,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2707,1.642,1.75912699,0.0272433306,2025-10-24,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.237,1.6083,1.71247351,-0.022906793,2025-10-17,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.266,1.6373,1.75262042,-0.000789266,2025-10-10,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.267,1.6383,1.7540048,0.0140867616,2025-09-30,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2494,1.6207,1.72963978,0.0084752603,2025-09-26,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2389,1.6102,1.71510383,-0.018459832,2025-09-19,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2622,1.6335,1.74735979,0.0060577076,2025-09-12,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2546,1.6259,1.73683853,0.0130619505,2025-09-05,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.23842377,1.60972377,1.71444454,-0.0394603506,2025-08-29,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2893,1.6606,1.78487639,0.0306978975,2025-08-22,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2509,1.6222,1.73171634,0.0213929942,2025-08-15,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2247,1.596,1.69544568,0.023055718,2025-08-08,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.1971,1.5684,1.65723689,-0.0024166667,2025-08-01,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2,1.5713,1.66125159,0.02029942,2025-07-25,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.29560007,1.54500007,1.62820007,0.0093487613,2025-07-18,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2836,1.533,1.6131194,0.0089608552,2025-07-11,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2722,1.5216,1.59879285,0.0064873418,2025-07-04,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.264,1.5134,1.58848779,0.0293159609,2025-06-27,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.228,1.4774,1.54324605,-0.0023559997,2025-06-20,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2309,1.4803,1.54689052,-0.0054137039,2025-06-13,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2376,1.487,1.55531051,0.0048717116,2025-06-11,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2316,1.481,1.54777022,-0.0052497766,2025-06-10,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.23814792,1.4875,1.55593855,0.0037292258,2025-06-09,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2335,1.4829,1.55015766,0.0011362714,2025-06-06,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2321,1.4815,1.54839826,0.0026855469,2025-06-05,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2288,1.4782,1.5442511,0.0071305631,2025-06-04,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2201,1.4695,1.53331768,0.0057703405,2025-06-03,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2131,1.4625,1.52452068,-0.003695795,2025-05-30,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2176,1.467,1.5301759,0.0080304661,2025-05-29,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2079,1.4573,1.51798576,-0.0004137703,2025-05-28,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2084,1.4578,1.51861412,-0.0044488384,2025-05-27,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
