ts_code,name,pct_change,amount,trade_date
801740.SI,国防军工,-1.68,12236752.0,20260128
801750.SI,计算机,-1.02,19124541.0,20260128
801760.SI,传媒,-1.77,10193719.0,20260128
801770.SI,通信,0.86,17725188.0,20260128
801780.SI,银行,-0.62,4573375.0,20260128
801790.SI,非银金融,-0.23,7186202.0,20260128
801880.SI,汽车,-1.09,10438825.0,20260128
801890.SI,机械设备,-1.05,19458961.0,20260128
801950.SI,煤炭,3.42,2547650.0,20260128
801960.SI,石油石化,3.54,4301547.0,20260128
801970.SI,环保,-0.04,2086508.0,20260128
801980.SI,美容护理,-1.65,471391.0,20260128
801010.SI,农林牧渔,1.46,3952849.0,20260129
801030.SI,基础化工,-0.9,16207745.0,20260129
801040.SI,钢铁,0.22,2725615.0,20260129
801050.SI,有色金属,1.66,42946234.0,20260129
801080.SI,电子,-3.56,50186355.0,20260129
801110.SI,家用电器,0.92,3687097.0,20260129
801120.SI,食品饮料,6.57,8668467.0,20260129
801130.SI,纺织服饰,-0.4,2355755.0,20260129
801140.SI,轻工制造,0.2,2650433.0,20260129
801150.SI,医药生物,0.2,12522616.0,20260129
801160.SI,公用事业,-0.03,5065893.0,20260129
801170.SI,交通运输,0.32,3188255.0,20260129
801180.SI,房地产,2.65,3845642.0,20260129
801200.SI,商贸零售,0.44,3485100.0,20260129
801210.SI,社会服务,0.2,1791267.0,20260129
801230.SI,综合,-1.66,530091.0,20260129
801710.SI,建筑材料,1.07,3443427.0,20260129
801720.SI,建筑装饰,-0.46,5917198.0,20260129
801730.SI,电力设备,-1.78,27675624.0,20260129
801740.SI,国防军工,-1.79,12261557.0,20260129
801750.SI,计算机,0.01,23773800.0,20260129
801760.SI,传媒,3.53,15308437.0,20260129
801770.SI,通信,-0.98,16185088.0,20260129
801780.SI,银行,1.52,4959752.0,20260129
801790.SI,非银金融,2.28,9347850.0,20260129
801880.SI,汽车,-1.41,10335030.0,20260129
801890.SI,机械设备,-1.76,19416659.0,20260129
801950.SI,煤炭,0.4,2275785.0,20260129
801960.SI,石油石化,2.23,4754696.0,20260129
801970.SI,环保,-0.93,2319600.0,20260129
801980.SI,美容护理,1.53,608881.0,20260129
801010.SI,农林牧渔,0.65,5419687.0,20260130
801030.SI,基础化工,-0.31,15957791.0,20260130
801040.SI,钢铁,-2.83,2437253.0,20260130
801050.SI,有色金属,-7.8,29403249.0,20260130
801080.SI,电子,0.68,45542577.0,20260130
801110.SI,家用电器,-0.47,3455911.0,20260130
801120.SI,食品饮料,-2.78,6259667.0,20260130
801130.SI,纺织服饰,-0.33,2457334.0,20260130
801140.SI,轻工制造,0.54,2538632.0,20260130
801150.SI,医药生物,-1.15,10902915.0,20260130
801160.SI,公用事业,-0.26,4665262.0,20260130
801170.SI,交通运输,-0.23,3062132.0,20260130
801180.SI,房地产,-2.47,3085280.0,20260130
801200.SI,商贸零售,-1.57,3085867.0,20260130
801210.SI,社会服务,-0.1,2010221.0,20260130
801230.SI,综合,-0.39,410085.0,20260130
801710.SI,建筑材料,-1.36,2662710.0,20260130
801720.SI,建筑装饰,-0.12,5193235.0,20260130
801730.SI,电力设备,-0.49,25790474.0,20260130
801740.SI,国防军工,-1.55,11552809.0,20260130
801750.SI,计算机,-1.96,17663403.0,20260130
801760.SI,传媒,-0.17,13027346.0,20260130
801770.SI,通信,3.44,17817193.0,20260130
801780.SI,银行,-0.4,3888706.0,20260130
801790.SI,非银金融,-1.59,6701140.0,20260130
801880.SI,汽车,-0.4,9524618.0,20260130
801890.SI,机械设备,0.21,18416057.0,20260130
801950.SI,煤炭,0.1,2486818.0,20260130
801960.SI,石油石化,-0.54,4942524.0,20260130
801970.SI,环保,-0.56,2151130.0,20260130
801980.SI,美容护理,-1.57,588902.0,20260130
801010.SI,农林牧渔,-3.52,4121114.0,20260202
801030.SI,基础化工,-5.69,14796604.0,20260202
801040.SI,钢铁,-5.93,2226745.0,20260202
801050.SI,有色金属,-7.62,20137109.0,20260202
801080.SI,电子,-4.04,42123035.0,20260202
801110.SI,家用电器,-0.49,3317185.0,20260202
801120.SI,食品饮料,1.11,5782910.0,20260202
801130.SI,纺织服饰,-2.41,1701310.0,20260202
801140.SI,轻工制造,-2.52,2616710.0,20260202
801150.SI,医药生物,-2.42,10120086.0,20260202
801160.SI,公用事业,-1.21,4390896.0,20260202
801170.SI,交通运输,-1.61,3219133.0,20260202
801180.SI,房地产,-3.41,2477539.0,20260202
801200.SI,商贸零售,-1.81,2736323.0,20260202
801210.SI,社会服务,-1.59,1849009.0,20260202
801230.SI,综合,-3.46,397430.0,20260202
801710.SI,建筑材料,-4.02,2520071.0,20260202
801720.SI,建筑装饰,-2.76,4622467.0,20260202
801730.SI,电力设备,-0.8,25502987.0,20260202
801740.SI,国防军工,-1.74,9932910.0,20260202
801750.SI,计算机,-2.67,15863675.0,20260202
801760.SI,传媒,-2.19,12216683.0,20260202
801770.SI,通信,-2.89,20221300.0,20260202
801780.SI,银行,0.17,4172077.0,20260202
801790.SI,非银金融,-1.46,6512511.0,20260202
801880.SI,汽车,-2.47,9283143.0,20260202
801890.SI,机械设备,-1.92,17437267.0,20260202
801950.SI,煤炭,-5.64,2153560.0,20260202
801960.SI,石油石化,-5.51,3023070.0,20260202
801970.SI,环保,-1.95,2101173.0,20260202
801980.SI,美容护理,-0.7,603223.0,20260202
801010.SI,农林牧渔,0.93,2759934.0,20260203
801030.SI,基础化工,3.21,11532649.0,20260203
801040.SI,钢铁,3.28,1555550.0,20260203
801050.SI,有色金属,3.25,25644070.0,20260203
801080.SI,电子,2.13,41741855.0,20260203
801110.SI,家用电器,0.88,3109898.0,20260203
801120.SI,食品饮料,1.39,4629176.0,20260203
801130.SI,纺织服饰,1.83,1888900.0,20260203
801140.SI,轻工制造,1.4,2299521.0,20260203
801150.SI,医药生物,1.54,8434246.0,20260203
801160.SI,公用事业,0.67,3574956.0,20260203
801170.SI,交通运输,1.28,2605800.0,20260203
801180.SI,房地产,1.9,2062426.0,20260203
801200.SI,商贸零售,1.64,2797965.0,20260203
801210.SI,社会服务,1.92,1587303.0,20260203
801230.SI,综合,5.63,446167.0,20260203
801710.SI,建筑材料,3.52,2497421.0,20260203
801720.SI,建筑装饰,2.02,3918028.0,20260203
