基金代码,基金名称,基金公司,固收+类型,股票仓位(%),债券贡献(%),加的贡献(%),90天规模变化(%),易方达/鹏华
021403.OF,鹏华丰实D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021069.OF,鹏华双季乐180天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021068.OF,鹏华双季乐180天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020084.OF,易方达纯债D,易方达基金,纯债/其他,0.0,0,0,0.0,是
021144.OF,易方达高等级信用债D,易方达基金,纯债/其他,0.0,0,0,0.0,是
020892.OF,易方达安丰六个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
020891.OF,易方达安丰六个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018834.OF,易方达汇享稳健养老一年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
021154.OF,鹏华3个月中短债E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020295.OF,易方达中债0-3年政策性金融债A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020296.OF,易方达中债0-3年政策性金融债C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019663.OF,易方达兴利180天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019662.OF,易方达兴利180天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020739.OF,鹏华稳益180天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020740.OF,鹏华稳益180天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020795.OF,易方达养老目标日期2055五年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
018899.OF,易方达悦和稳健C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018898.OF,易方达悦和稳健A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020447.OF,鹏华双季红180天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020448.OF,鹏华双季红180天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020636.OF,鹏华丰恒C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020626.OF,鹏华丰庆C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019600.OF,鹏华智投800A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019601.OF,鹏华智投800C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018513.OF,易方达养老目标日期2045五年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020149.OF,易方达安泽180天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020150.OF,易方达安泽180天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019661.OF,易方达汇悦平衡养老目标三年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020040.OF,易方达安嘉30天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020041.OF,易方达安嘉30天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
020318.OF,鹏华丰宁C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020368.OF,鹏华0-5年利率债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018313.OF,易方达如意安诚六个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018312.OF,易方达如意安诚六个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020346.OF,易方达如意招享C,易方达基金,纯债/其他,0.0,0,0,0.0,是
020317.OF,鹏华丰达C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020254.OF,鹏华盛世创新C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018532.OF,鹏华丰景,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019264.OF,易方达安瑞短债D,易方达基金,纯债/其他,0.0,0,0,0.0,是
019248.OF,鹏华易选积极3个月持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019247.OF,鹏华易选积极3个月持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019354.OF,易方达平衡视野A1,易方达基金,纯债/其他,0.0,0,0,0.0,是
019355.OF,易方达平衡视野A2,易方达基金,纯债/其他,0.0,0,0,0.0,是
019356.OF,易方达平衡视野A3,易方达基金,纯债/其他,0.0,0,0,0.0,是
020082.OF,易方达信用债D,易方达基金,纯债/其他,0.0,0,0,0.0,是
020083.OF,易方达投资级信用债D,易方达基金,纯债/其他,0.0,0,0,0.0,是
019821.OF,鹏华远见精选C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019820.OF,鹏华远见精选A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020112.OF,鹏华丰恒D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019034.OF,易方达高端制造C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019032.OF,易方达环保主题C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019035.OF,易方达全球医药行业人民币C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019036.OF,易方达全球医药行业美元C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019789.OF,鹏华优质治理C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019776.OF,鹏华产业精选C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019965.OF,易方达养老目标日期2050五年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
018314.OF,易方达养老目标日期2055五年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019966.OF,易方达汇裕积极养老目标五年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
019245.OF,鹏华易诚积极3个月持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019246.OF,鹏华易诚积极3个月持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019580.OF,易方达安汇120天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019579.OF,易方达安汇120天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018231.OF,易方达全球优质企业美元现汇A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018229.OF,易方达全球优质企业A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018230.OF,易方达全球优质企业C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018232.OF,易方达全球优质企业美元现汇C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018743.OF,易方达中债优选投资级信用债指数C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018996.OF,易方达中债优选投资级信用债指数A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019020.OF,易方达医疗保健C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019018.OF,易方达信息产业C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019609.OF,鹏华养老目标日期2050五年持有,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019004.OF,易方达科技智选C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019003.OF,易方达科技智选A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019606.OF,易方达富惠D,易方达基金,纯债/其他,0.0,0,0,0.0,是
019539.OF,鹏华丰玉C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019302.OF,鹏华产业债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019157.OF,易方达全球配置美元现汇A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019155.OF,易方达全球配置A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019156.OF,易方达全球配置C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019158.OF,易方达全球配置美元现汇C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019205.OF,鹏华优质企业C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017594.OF,易方达稳健腾享六个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
019287.OF,鹏华丰诚D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017595.OF,易方达稳健腾享六个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018084.OF,鹏华信用债6个月持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018083.OF,鹏华信用债6个月持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019204.OF,鹏华丰康C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
002504.OF,鹏华永达中短债6个月定开A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
002505.OF,鹏华永达中短债6个月定开C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017228.OF,易方达汇裕积极养老目标五年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
017696.OF,易方达养老目标日期2050五年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018798.OF,易方达安裕60天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
018799.OF,易方达安裕60天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018611.OF,鹏华高端装备一年持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018612.OF,鹏华高端装备一年持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017740.OF,鹏华睿见A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017741.OF,鹏华睿见C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018710.OF,鹏华沪深港新兴成长C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016951.OF,鹏华丰顺A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017705.OF,易方达裕浙3个月定开,易方达基金,纯债/其他,0.0,0,0,0.0,是
018588.OF,易方达优势回报C,易方达基金,纯债/其他,0.0,0,0,0.0,是
018001.OF,鹏华芯片产业C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018000.OF,鹏华芯片产业A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016650.OF,易方达优势风华六个月持有,易方达基金,纯债/其他,0.0,0,0,0.0,是
017990.OF,易方达安益90天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
017989.OF,易方达安益90天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
017987.OF,易方达国企主题A,易方达基金,纯债/其他,0.0,0,0,0.0,是
017988.OF,易方达国企主题C,易方达基金,纯债/其他,0.0,0,0,0.0,是
016531.OF,鹏华碳中和主题C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016530.OF,鹏华碳中和主题A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018080.OF,鹏华稳健添利A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018081.OF,鹏华稳健添利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017668.OF,鹏华新材料C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017667.OF,鹏华新材料A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017973.OF,易方达港股通优质增长A,易方达基金,纯债/其他,0.0,0,0,0.0,是
017974.OF,易方达港股通优质增长C,易方达基金,纯债/其他,0.0,0,0,0.0,是
017218.OF,鹏华汽车产业A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017219.OF,鹏华汽车产业C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
018087.OF,鹏华双债增利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017083.OF,鹏华安锦一年持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017084.OF,鹏华安锦一年持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016111.OF,鹏华丰尊,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017420.OF,易方达裕祥回报C,易方达基金,纯债/其他,0.0,0,0,0.0,是
017414.OF,易方达安盈回报C,易方达基金,纯债/其他,0.0,0,0,0.0,是
014026.OF,易方达优选星汇六个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
014027.OF,易方达优选星汇六个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
017820.OF,鹏华丰利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016819.OF,鹏华睿进一年持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016818.OF,鹏华睿进一年持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
015803.OF,鹏华稳健恒利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
015802.OF,鹏华稳健恒利A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016889.OF,鹏华稳健增利A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
016890.OF,鹏华稳健增利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017732.OF,鹏华核心优势C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
017417.OF,易方达裕如C,易方达基金,纯债/其他,0.0,0,0,0.0,是
