基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
020322.OF,平安惠智C,平安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020133.OF,东方红60天持有纯债A,东方红资产管理,债券型,债券型,0.0,0.0,0.0,0.0,否
019806.OF,华安月月鑫30天持有A,华安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019807.OF,华安月月鑫30天持有C,华安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020134.OF,东方红60天持有纯债C,东方红资产管理,债券型,债券型,0.0,0.0,0.0,0.0,否
020280.OF,中加丰泽C,中加基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020189.OF,建信添福悠享稳健养老目标一年持有Y,建信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020281.OF,南方宣利定期开放E,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020300.OF,南方乐元中短期利率债E,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019419.OF,国泰海通善怡稳健六个月持有A,国泰海通资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019420.OF,国泰海通善怡稳健六个月持有C,国泰海通资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019756.OF,东方红季鑫90天持有纯债C,东方红资产管理,债券型,债券型,0.0,0.0,0.0,0.0,否
019931.OF,泰康悦享30天持有A,泰康基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019502.OF,信澳悦享利率债A,信达澳亚基金,债券型,债券型,0.0,0.5188585112751998,0.0,0.0,否
019047.OF,嘉实致裕纯债,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019932.OF,泰康悦享30天持有C,泰康基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020244.OF,大摩优质信价纯债E,摩根士丹利基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019581.OF,浦银安盛悦享30天持有A,浦银安盛基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019582.OF,浦银安盛悦享30天持有C,浦银安盛基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020077.OF,建信稳定鑫利D,建信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019048.OF,嘉实汇享30天持有纯债A,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019049.OF,嘉实汇享30天持有纯债C,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020257.OF,嘉合磐稳纯债D,嘉合基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020216.OF,博时富泽金融债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019351.OF,招商远见回报3年定开,招商基金,混合型,混合型,0.0,0.0,0.0,0.0,否
018761.OF,鑫元乐享90天持有A,鑫元基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018247.OF,长盛盛华一年定开,长盛基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018762.OF,鑫元乐享90天持有C,鑫元基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018604.OF,民生加银添润A,民生加银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018617.OF,民生加银添润C,民生加银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019363.OF,大成至信回报三年定开,大成基金,混合型,混合型,0.0,0.0,0.0,0.0,否
020136.OF,华富吉禄90天滚动持有C,华富基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020135.OF,华富吉禄90天滚动持有A,华富基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020205.OF,创金合信恒兴中短债E,创金合信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020174.OF,大成惠明C,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018758.OF,山证资管汇利一年定开债A,山证资管,债券型,债券型,0.0,0.0,0.0,0.0,否
018759.OF,山证资管汇利一年定开债C,山证资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019813.OF,国联安恒通3个月纯债定开,国联安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018842.OF,长江安悦利率债A,长江资管,债券型,债券型,0.0,0.0,0.0,0.0,否
018843.OF,长江安悦利率债C,长江资管,债券型,债券型,0.0,0.0,0.0,0.0,否
020079.OF,金信民富C,金信基金,债券型,债券型,0.0,0.0,1.4637002341920446,0.0,否
019424.OF,财通资管双鑫一年持有A,财通证券资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019083.OF,万家稳安60天持有A,万家基金,债券型,债券型,0.0,0.0,0.94500094500094,0.0,否
019908.OF,国寿安保泰悦3个月滚动持有A,国寿安保基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019425.OF,财通资管双鑫一年持有C,财通证券资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019286.OF,平安惠旭纯债C,平安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019285.OF,平安惠旭纯债A,平安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019084.OF,万家稳安60天持有C,万家基金,债券型,债券型,0.0,0.0,0.8537279453614044,0.0,否
019909.OF,国寿安保泰悦3个月滚动持有C,国寿安保基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020173.OF,汇安中短债D,汇安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019843.OF,渤海汇金优选稳健6个月持有A,渤海汇金资管,混合型,混合型,0.0,0.0,0.0,0.0,否
019844.OF,渤海汇金优选稳健6个月持有C,渤海汇金资管,混合型,混合型,0.0,0.0,0.0,0.0,否
020119.OF,博时富顺纯债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018509.OF,国泰海通君享利30天滚动持有A,国泰海通资管,债券型,债券型,0.0,0.0,1.2121212121211977,0.0,否
018867.OF,东方红3个月纯债定开,东方红资产管理,债券型,债券型,0.0,0.0,0.0,0.0,否
020127.OF,国联恒裕纯债E,国联基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019586.OF,博远增裕利率债C,博远基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019585.OF,博远增裕利率债A,博远基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019885.OF,南方恩元A,南方基金,债券型,债券型,0.0,-3.71711780404117,0.0,0.0,否
020122.OF,圆信永丰兴利E,圆信永丰基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018170.OF,嘉实双季瑞享6个月持有A,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019724.OF,鑫元稳丰利率债,鑫元基金,债券型,债券型,0.0,0.5338250994855853,0.0,0.0,否
020080.OF,华富恒稳纯债D,华富基金,债券型,债券型,0.0,1.3212366775301687,2.194385216773287,0.0,否
018171.OF,嘉实双季瑞享6个月持有C,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020051.OF,英大安华纯债C,英大基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020050.OF,英大安华纯债A,英大基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020123.OF,鑫元臻利D,鑫元基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018885.OF,建信开元惠享6个月持有C,建信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018884.OF,建信开元惠享6个月持有A,建信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020089.OF,广发纯债E,广发基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018737.OF,景顺长城景颐裕利C,景顺长城基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019178.OF,富国瑞丰纯债A,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
