日期,高拥挤Top6等权%,低拥挤Bot6等权%,高-低轧差%,轧差净值,Top6行业,Bottom6行业
02/25,-0.6900000000000001,-0.3666666666666667,-0.32333333333333336,0.9967666666666667,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 通信, 汽车"
02/26,1.5233333333333332,1.1316666666666666,0.3916666666666666,1.0006706694444443,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 通信, 汽车"
02/27,0.7283333333333334,-0.9833333333333333,1.7116666666666667,1.017798815736435,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 通信, 汽车"
02/28,-1.4683333333333333,-4.3,2.8316666666666666,1.0466194855353719,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/03,0.4633333333333333,-0.08333333333333337,0.5466666666666666,1.052341005389632,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/04,-0.5316666666666666,0.97,-1.5016666666666665,1.036538351292031,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/05,-0.22666666666666666,1.1500000000000001,-1.3766666666666667,1.0222686733225772,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/06,1.0233333333333334,2.3449999999999998,-1.3216666666666663,1.008757689023497,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/07,-0.05166666666666668,-0.815,0.7633333333333333,1.0164578727163764,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/10,0.7616666666666667,-0.255,1.0166666666666666,1.026791861088993,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/11,1.395,-0.043333333333333335,1.4383333333333335,1.0415605506909897,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/12,-0.5833333333333334,0.3466666666666667,-0.93,1.0318740375695636,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/13,0.735,-1.9416666666666667,2.6766666666666667,1.0594938659751756,"综合, 美容护理, 煤炭, 石油石化, 建筑材料, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
03/14,1.1616666666666666,1.9916666666666667,-0.8300000000000001,1.0507000668875817,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","计算机, 电子, 机械设备, 电力设备, 通信, 汽车"
