trade_date,ts_code,close,pct_chg
20251226,000922.CSI,5513.7509,0.4977
20251229,000922.CSI,5501.7422,-0.2178
20251230,000922.CSI,5499.2122,-0.046
20251231,000922.CSI,5503.9812,0.0867
20260105,000922.CSI,5525.1164,0.384
20260106,000922.CSI,5591.0408,1.1932
20260107,000922.CSI,5592.9103,0.0334
20260108,000922.CSI,5574.5975,-0.3274
20260109,000922.CSI,5592.677,0.3243
20260112,000922.CSI,5611.1655,0.3306
20260113,000922.CSI,5591.9684,-0.3421
20260114,000922.CSI,5552.3081,-0.7092
20260115,000922.CSI,5541.7041,-0.191
20260116,000922.CSI,5493.3899,-0.8718
20260119,000922.CSI,5538.8923,0.8283
20260120,000922.CSI,5611.8413,1.317
20260121,000922.CSI,5577.5405,-0.6112
20260122,000922.CSI,5618.1484,0.7281
20260123,000922.CSI,5611.477,-0.1187
20260126,000922.CSI,5648.09,0.6525
20260127,000922.CSI,5599.9241,-0.8528
20260128,000922.CSI,5687.3191,1.5606
20260129,000922.CSI,5757.6384,1.2364
20260130,000922.CSI,5700.0072,-1.001
20260202,000922.CSI,5521.8717,-3.1252
20260203,000922.CSI,5563.8039,0.7594
20260204,000922.CSI,5712.025,2.664
20260205,000922.CSI,5686.5133,-0.4466
20260206,000922.CSI,5671.1173,-0.2707
20260209,000922.CSI,5709.0636,0.6691
20260210,000922.CSI,5730.0051,0.3668
20260211,000922.CSI,5770.1328,0.7003
20260212,000922.CSI,5751.6415,-0.3205
20260213,000922.CSI,5668.2221,-1.4504
20260224,000922.CSI,5754.4118,1.5206
20250120,000688.SH,968.2711,0.2452
20250121,000688.SH,976.2959,0.8288
20250122,000688.SH,975.34,-0.0979
20250123,000688.SH,966.1063,-0.9467
20250124,000688.SH,974.8342,0.9034
20250127,000688.SH,955.09,-2.0254
20250205,000688.SH,982.8287,2.9043
20250206,000688.SH,1011.2199,2.8887
20250207,000688.SH,1018.7988,0.7495
20250210,000688.SH,1036.7653,1.7635
20250211,000688.SH,1024.4122,-1.1915
20250212,000688.SH,1041.1366,1.6326
20250213,000688.SH,1017.0875,-2.3099
20250214,000688.SH,1022.4634,0.5286
20250217,000688.SH,1037.307,1.4517
20250218,000688.SH,1011.1683,-2.5199
20250219,000688.SH,1034.5705,2.3144
20250220,000688.SH,1033.0853,-0.1436
20250221,000688.SH,1094.7739,5.9713
20250224,000688.SH,1100.0534,0.4822
20250225,000688.SH,1102.9012,0.2589
20250226,000688.SH,1126.8203,2.1687
20250227,000688.SH,1126.287,-0.0473
20250228,000688.SH,1078.7976,-4.2165
20250303,000688.SH,1062.3506,-1.5246
20250304,000688.SH,1080.6648,1.7239
20250305,000688.SH,1083.8168,0.2917
20250306,000688.SH,1121.5845,3.4847
20250307,000688.SH,1107.6227,-1.2448
