date,limit_date,all_count,all_valid,all_return,all_gap,all_nav,all_bias,first_count,first_valid,first_return,first_gap,first_nav,first_bias
20251209,20251208,74,73,2.0018,2.0622,3.736375,18.68,48,47,1.9474,2.2612,3.105836,15.12
20251210,20251209,53,53,1.4703,2.8218,3.79131,18.32,36,36,0.8854,1.4754,3.133335,14.52
20251211,20251210,57,57,-0.2924,2.927,3.780225,16.16,41,41,-0.5266,2.6496,3.116835,12.52
20251212,20251211,34,34,4.1316,2.0879,3.936409,18.92,25,25,6.0907,2.9226,3.30667,17.6
20251215,20251212,78,77,1.5349,2.022,3.996829,18.78,65,64,0.9383,1.5715,3.337698,17.01
20251216,20251215,59,59,-0.1248,1.7521,3.991843,16.73,46,46,-0.7046,1.19,3.31418,14.57
20251217,20251216,42,42,-0.4004,1.2292,3.975859,14.58,30,30,-0.672,1.2515,3.291908,12.41
20251218,20251217,49,48,3.4921,2.948,4.114699,16.6,41,40,2.9498,2.8774,3.389012,14.04
20251219,20251218,61,61,3.138,1.5347,4.243816,18.02,44,44,2.6101,1.329,3.477467,15.13
20251222,20251219,70,69,2.1828,3.0177,4.33645,18.45,55,54,2.2243,2.3068,3.554816,15.93
20251223,20251222,80,80,1.3582,3.0094,4.39535,17.99,64,64,0.9425,2.5868,3.588321,15.35
20251224,20251223,54,53,2.6856,2.1095,4.513393,19.07,37,36,1.9003,1.6571,3.656509,15.87
20251225,20251224,76,76,3.7442,2.9692,4.682384,21.12,62,62,2.9227,2.2331,3.76338,17.34
20251226,20251225,79,79,3.0841,2.5405,4.826793,22.28,57,57,1.5916,1.7438,3.823278,17.26
20251229,20251226,82,82,-0.054,0.9667,4.824187,19.9,60,60,-0.3409,0.9173,3.810244,15.12
20251230,20251229,72,70,1.116,1.4735,4.878026,19.0,54,53,0.785,1.319,3.840154,14.3
20251231,20251230,54,53,2.0766,2.1167,4.979323,19.19,36,36,1.7767,1.4416,3.908382,14.56
20260105,20251231,57,57,2.027,2.4526,5.080253,19.23,45,45,2.901,2.8595,4.021763,15.94
20260106,20260105,108,108,6.2545,4.5239,5.397998,23.89,94,94,6.2342,4.6482,4.272488,20.76
20260107,20260106,120,118,1.1869,2.379,5.462066,22.82,78,77,0.6276,1.4212,4.299304,19.41
20260108,20260107,80,80,4.3303,3.4052,5.698589,25.37,57,57,3.0529,2.957,4.430558,20.83
20260109,20260108,92,91,3.0249,3.5324,5.870968,26.28,66,65,2.1841,2.5523,4.527324,21.16
20260112,20260109,94,94,7.0479,5.7832,6.284747,31.63,75,75,6.6544,5.4481,4.828591,26.33
20260113,20260112,183,180,1.0629,5.4547,6.351549,29.75,140,138,0.6218,4.5745,4.858613,24.59
20260114,20260113,66,65,4.3854,0.8158,6.630092,31.89,37,37,3.3109,0.6291,5.019479,26.0
20260115,20260114,102,102,-2.5011,0.0262,6.464267,25.51,83,83,-2.7915,-0.0889,4.879363,20.12
20260116,20260115,55,55,-0.4595,1.591,6.434561,22.02,41,41,0.7343,2.2755,4.915191,18.63
20260119,20260116,58,58,2.8967,2.0555,6.620954,22.64,52,52,2.9807,1.8619,5.061699,19.75
20260120,20260119,88,88,2.4359,1.7447,6.782234,22.74,78,78,2.3405,1.6288,5.180166,20.13
20260121,20260120,54,53,1.5852,2.134,6.889749,21.87,42,41,1.2795,1.7027,5.246448,19.33
20260122,20260121,79,79,2.7244,1.9618,7.07745,22.29,71,71,2.529,1.79,5.379132,19.91
20260123,20260122,73,73,1.8723,1.8851,7.209962,21.74,56,56,2.0211,1.5219,5.487847,19.88
20260126,20260123,104,103,0.2205,3.118,7.225857,19.45,93,93,0.3042,3.0863,5.504539,18.0
20260127,20260126,70,70,2.8242,0.0414,7.429926,20.23,55,55,2.3429,0.1875,5.633504,18.47
20260128,20260127,53,53,2.0245,2.2729,7.580343,19.99,39,39,0.9126,2.1701,5.684913,17.24
