trade_date,prefix,close,vol,amount,oi
20260114,IM,8156.0,225371.0,37166187.6,212359.0
20260113,IM,8160.4,178731.0,29298080.944,207812.0
20260112,IM,8311.4,172951.0,28325902.528,208444.0
20260109,IM,8048.4,149124.0,23719072.068,203815.0
20260108,IM,7820.6,118672.0,18548202.856,193230.0
20260107,IM,7760.2,104271.0,16192301.576,189188.0
20260106,IM,7762.4,114127.0,17594516.948,192848.0
20260105,IM,7639.0,103703.0,15683206.024,189842.0
20251231,IM,7436.2,93696.0,13942449.524,181081.0
20251230,IM,7459.2,100572.0,15014355.572,189970.0
20251229,IM,7439.0,95430.0,14241486.416,182605.0
20251226,IM,7472.4,125247.0,18726275.12,194890.0
20251225,IM,7419.0,101700.0,15020366.856,183127.0
20251224,IM,7327.6,113077.0,16467667.08,185869.0
20251223,IM,7197.4,87825.0,12653794.708,176419.0
20251222,IM,7203.6,86037.0,12421866.28,175023.0
20251219,IM,7141.8,103313.0,14739696.328,179118.0
20251218,IM,7275.4,78623.0,11484603.136,50338.0
20251217,IM,7295.0,123802.0,17881728.596,85747.0
20251216,IM,7189.0,125471.0,18047530.288,123921.0
20251215,IM,7308.0,104015.0,15241663.572,126463.0
20251212,IM,7361.8,126483.0,18545365.976,149811.0
20251211,IM,7304.6,114206.0,16759339.136,152560.0
20251210,IM,7371.4,108100.0,15862529.536,163906.0
20251209,IM,7347.8,86997.0,12826407.312,164945.0
20251208,IM,7380.4,104973.0,15492126.888,168647.0
20251205,IM,7319.8,146937.0,21291104.388,189203.0
20251204,IM,7213.4,116454.0,16742797.544,181088.0
20251203,IM,7195.4,118632.0,17089419.632,193074.0
20251202,IM,7239.6,96449.0,13963107.832,181453.0
20251201,IM,7290.0,107661.0,15695907.24,189019.0
20251128,IM,7260.8,125415.0,18117627.388,199411.0
20251127,IM,7179.0,130117.0,18794254.288,203626.0
20251126,IM,7176.2,125795.0,18123173.356,202891.0
20251125,IM,7172.0,152757.0,21998363.036,211318.0
20251124,IM,7095.2,160312.0,22666212.168,220648.0
20251121,IM,7018.2,215750.0,30621626.54,244705.0
20251120,IM,7263.6,140822.0,20536700.104,205865.0
20251119,IM,7298.2,149890.0,21908725.596,201080.0
20251118,IM,7351.8,142162.0,20877311.536,189585.0
20251117,IM,7394.4,130158.0,19251784.304,185984.0
20251114,IM,7372.0,125074.0,18585913.452,182376.0
20251113,IM,7478.4,140471.0,20901119.24,183744.0
20251112,IM,7369.8,159312.0,23416380.524,193160.0
20251111,IM,7390.4,122556.0,18200975.104,179084.0
20251110,IM,7421.0,128195.0,18990625.556,179090.0
20251107,IM,7412.0,127587.0,18880453.876,180439.0
20251106,IM,7405.0,138409.0,20397798.896,176903.0
20251105,IM,7310.8,159917.0,23291340.324,189571.0
20251104,IM,7284.4,150525.0,21953739.152,184001.0
20251103,IM,7398.0,149911.0,22016673.764,185243.0
20251031,IM,7368.2,164443.0,24363860.276,186908.0
20251030,IM,7364.4,162104.0,23950012.052,190757.0
20251029,IM,7446.4,124145.0,18346657.12,180653.0
20251028,IM,7335.6,141946.0,20887340.364,186154.0
20251027,IM,7322.6,137585.0,20208958.552,187588.0
20251024,IM,7298.0,147894.0,21425511.252,183485.0
20251023,IM,7179.0,172781.0,24465642.172,201566.0
20251022,IM,7163.2,120919.0,17322157.048,180451.0
20251021,IM,7182.8,151318.0,21705796.396,190486.0
20251020,IM,7059.2,143577.0,20358626.416,189654.0
20251017,IM,7020.8,173725.0,24614585.844,199348.0
20251016,IM,7205.0,153865.0,22204903.204,185185.0
20251015,IM,7275.2,178569.0,25797849.904,191595.0
20251014,IM,7145.8,200096.0,29009194.996,194043.0
20251013,IM,7305.8,169889.0,24631029.168,190790.0
20251010,IM,7340.4,140881.0,20752691.344,183267.0
20251009,IM,7449.6,131436.0,19645459.372,182161.0
20250930,IM,7406.2,135231.0,20012753.176,183522.0
20250929,IM,7337.4,178532.0,25946497.248,191754.0
20250926,IM,7189.2,155277.0,22450182.788,192544.0
20250925,IM,7281.8,135475.0,19759633.848,183767.0
20250924,IM,7303.2,185454.0,26752026.812,192420.0
20250923,IM,7127.0,203839.0,28860068.612,206634.0
20250922,IM,7230.2,134489.0,19358630.84,186980.0
20250919,IM,7190.8,172454.0,24862284.868,193659.0
20250918,IM,7454.8,118769.0,17940473.7,55453.0
20260227,IF,4713.8,54648.0,7707459.906,146645.0
20260226,IF,4712.2,55890.0,7901682.672,145477.0
20260225,IF,4731.4,69805.0,9915877.158,158505.0
20260227,IH,3045.4,28262.0,2576327.772,59512.0
20260226,IH,3034.6,28704.0,2614637.286,60209.0
20260225,IH,3058.2,34880.0,3206343.096,63395.0
20260227,IC,8645.4,78564.0,13493814.312,138970.0
20260226,IC,8537.4,68251.0,11637401.468,136686.0
20260225,IC,8529.0,77377.0,13146463.876,143448.0
20260227,IM,8531.4,100970.0,17130424.012,177180.0
20260226,IM,8443.4,97454.0,16412412.808,176096.0
20260225,IM,8405.6,111192.0,18670576.112,188683.0
