date,contract,name,fut_close,spot_close,basis,basis_pct,annual_basis_pct,fut_vol,fut_amount,fut_oi
20260415,IC,中证500,7904.0,8044.08,-140.08,-1.7414,-20.9,80222.0,12775934.388,152519.0
20260415,IF,沪深300,4625.2,4685.25,-60.05,-1.2816,-15.38,53963.0,7522144.602,139812.0
20260415,IH,上证50,2907.6,2934.22,-26.62,-0.9071,-10.89,24050.0,2104789.83,51801.0
20260415,IM,中证1000,7904.6,8106.16,-201.56,-2.4866,-29.84,106521.0,16912331.464,190136.0
20260416,IC,中证500,8065.0,8180.08,-115.08,-1.4069,-16.88,84522.0,13557515.632,158421.0
20260416,IF,沪深300,4677.8,4736.61,-58.81,-1.2416,-14.9,53861.0,7541429.76,141692.0
20260416,IH,上证50,2920.0,2939.76,-19.76,-0.6723,-8.07,23772.0,2083603.818,54191.0
20260416,IM,中证1000,8052.2,8232.98,-180.78,-2.1958,-26.35,114952.0,18412078.248,201376.0
20260417,IC,中证500,8098.8,8214.19,-115.39,-1.4048,-16.86,72169.0,11641516.444,151472.0
20260417,IF,沪深300,4667.0,4728.67,-61.67,-1.3042,-15.65,48719.0,6818099.628,139296.0
20260417,IH,上证50,2888.0,2910.87,-22.87,-0.7858,-9.43,24673.0,2144404.89,55456.0
20260417,IM,中证1000,8132.0,8307.44,-175.44,-2.1118,-25.34,116651.0,18880383.504,199118.0
20260420,IC,中证500,8146.2,8290.02,-143.82,-1.7349,-20.82,74383.0,12140704.712,158814.0
20260420,IF,沪深300,4696.6,4757.44,-60.84,-1.2789,-15.35,54531.0,7675821.72,144611.0
20260420,IH,上证50,2918.0,2933.65,-15.65,-0.5336,-6.4,24765.0,2160963.216,56749.0
20260420,IM,中证1000,8159.2,8357.81,-198.61,-2.3764,-28.52,101568.0,16610298.252,197522.0
20260421,IC,中证500,8124.4,8270.33,-145.93,-1.7645,-21.17,68719.0,11145240.78,150214.0
20260421,IF,沪深300,4707.8,4768.0,-60.2,-1.2625,-15.15,48681.0,6849247.218,138220.0
20260421,IH,上证50,2916.6,2932.07,-15.47,-0.5277,-6.33,22752.0,1987603.578,55951.0
20260421,IM,中证1000,8170.0,8351.16,-181.16,-2.1692,-26.03,98498.0,16037470.964,193709.0
20260422,IC,中证500,8264.2,8376.18,-111.98,-1.3369,-16.04,75950.0,12439129.596,153427.0
20260422,IF,沪深300,4744.8,4799.63,-54.83,-1.1423,-13.71,51772.0,7332738.096,141181.0
20260422,IH,上证50,2917.8,2930.58,-12.78,-0.4359,-5.23,23286.0,2035292.826,57449.0
20260422,IM,中证1000,8322.8,8481.24,-158.44,-1.8681,-22.42,115334.0,19024982.052,202394.0
20260423,IC,中证500,8177.0,8295.21,-118.21,-1.425,-17.1,99438.0,16249382.552,159238.0
20260423,IF,沪深300,4724.4,4786.33,-61.93,-1.2938,-15.53,70330.0,9971443.368,141725.0
20260423,IH,上证50,2911.2,2927.93,-16.73,-0.5714,-6.86,34040.0,2970222.186,60680.0
20260423,IM,中证1000,8219.2,8362.74,-143.54,-1.7164,-20.6,150090.0,24671504.392,209404.0
20260424,IC,中证500,8132.8,8247.88,-115.08,-1.3952,-16.74,97813.0,15866422.804,154408.0
20260424,IF,沪深300,4713.6,4769.37,-55.77,-1.1693,-14.03,60653.0,8556197.976,138176.0
20260424,IH,上证50,2929.0,2945.04,-16.04,-0.5447,-6.54,33589.0,2938596.6,58743.0
20260424,IM,中证1000,8163.0,8304.14,-141.14,-1.6996,-20.4,143941.0,23506000.788,209086.0
20260427,IC,中证500,8186.4,8299.05,-112.65,-1.3574,-16.29,68000.0,11119846.296,147106.0
20260427,IF,沪深300,4715.6,4770.95,-55.35,-1.1601,-13.92,47578.0,6743044.962,136394.0
20260427,IH,上证50,2922.4,2939.05,-16.65,-0.5666,-6.8,25131.0,2208010.632,57744.0
20260427,IM,中证1000,8199.2,8338.73,-139.53,-1.6732,-20.08,104876.0,17189462.936,201381.0
20260428,IC,中证500,8094.6,8203.96,-109.36,-1.333,-16.0,77268.0,12545160.392,151485.0
20260428,IF,沪深300,4702.4,4758.21,-55.81,-1.1729,-14.07,50106.0,7074834.756,136927.0
20260428,IH,上证50,2930.2,2950.42,-20.22,-0.6854,-8.22,26735.0,2352813.978,57936.0
20260428,IM,中证1000,8103.6,8226.69,-123.09,-1.4963,-17.96,125973.0,20459202.16,208766.0
20260429,IC,中证500,8270.0,8342.42,-72.42,-0.8681,-10.42,83644.0,13712712.228,152310.0
20260429,IF,沪深300,4766.0,4810.35,-44.35,-0.9219,-11.06,58415.0,8299786.608,141827.0
20260429,IH,上证50,2947.0,2967.5,-20.5,-0.6909,-8.29,29356.0,2586568.254,59379.0
20260429,IM,中证1000,8246.0,8343.07,-97.07,-1.1634,-13.96,122459.0,20073024.672,205283.0
20260430,IC,中证500,8270.0,8349.51,-79.51,-0.9522,-11.43,65947.0,10865921.44,148167.0
20260430,IF,沪深300,4763.4,4807.31,-43.91,-0.9133,-10.96,48678.0,6950096.004,137863.0
20260430,IH,上证50,2968.8,2985.5,-16.7,-0.5595,-6.71,28891.0,2563915.998,59217.0
20260430,IM,中证1000,8279.2,8381.95,-102.75,-1.2258,-14.71,100591.0,16597978.456,201984.0
