trade_date,symbol,close,vol,amount,oi
20250814,SC,481.9,77681.0,3756792.42,20420.0
20250815,SC,486.3,54720.0,2665047.52,16072.0
20250818,SC,486.5,110520.0,5362898.67,34937.0
20250819,SC,484.2,117329.0,5691786.94,36350.0
20250820,SC,482.8,114618.0,5525704.84,37855.0
20250821,SC,490.9,116216.0,5656343.84,36440.0
20250822,SC,493.6,109851.0,5394231.5,37322.0
20250825,SC,492.9,102824.0,5075120.08,37424.0
20250826,SC,496.1,95625.0,4759599.96,37040.0
20250827,SC,479.7,125394.0,6099210.66,39460.0
20260112,SC,437.5,86573.0,3772726.57,25051.0
20260113,SC,445.6,65173.0,2853070.28,22578.0
20260114,SC,445.5,97963.0,4397590.66,19768.0
20260115,SC,444.9,56646.0,2557084.12,14486.0
20260116,SC,438.8,88633.0,3897285.92,41539.0
20260119,SC,437.4,77853.0,3446323.54,40770.0
20260120,SC,437.0,51993.0,2280362.23,40047.0
20260121,SC,440.8,78058.0,3443554.63,39936.0
20260122,SC,446.4,84207.0,3758845.76,43267.0
20260123,SC,441.9,95141.0,4181003.46,45295.0
20260126,SC,457.3,136743.0,6165744.18,52435.0
20260127,SC,446.7,121039.0,5435913.15,48163.0
20260128,SC,460.3,143169.0,6525558.59,48237.0
20260129,SC,472.5,144280.0,6738628.03,48382.0
20260130,SC,470.8,310515.0,14997825.22,44117.0
20260202,SC,449.0,197282.0,9326858.15,36200.0
20260203,SC,449.4,119915.0,5394508.74,32924.0
20260204,SC,462.4,99401.0,4556274.02,27679.0
20260205,SC,463.5,97941.0,4542249.1,21605.0
20260206,SC,465.4,77889.0,3597135.4,16308.0
20260209,SC,464.2,119646.0,5575869.14,43008.0
20260210,SC,476.1,109979.0,5197036.13,44264.0
20260211,SC,476.8,82615.0,3931896.06,45913.0
20260212,SC,476.8,89585.0,4309846.27,43716.0
20260213,SC,460.7,105973.0,4924427.34,37537.0
20260224,SC,493.3,57134.0,2799264.66,39126.0
20250709,FU,2982.0,361449.0,1078019.02,203701.0
20250710,FU,2972.0,487222.0,1443327.52,201272.0
20250711,FU,2911.0,741556.0,2156945.05,223692.0
20250714,FU,2922.0,417150.0,1217946.79,221062.0
20250715,FU,2840.0,623623.0,1788079.95,253569.0
20250716,FU,2880.0,468042.0,1344147.48,229800.0
20250717,FU,2863.0,375510.0,1074482.11,225217.0
20250718,FU,2912.0,652463.0,1879733.9,200032.0
20250721,FU,2924.0,446506.0,1304491.03,185160.0
20250722,FU,2924.0,458152.0,1328611.22,193477.0
20250723,FU,2879.0,633430.0,1823824.72,203417.0
20250724,FU,2879.0,527147.0,1509026.38,208945.0
20250725,FU,2915.0,536823.0,1554249.92,194080.0
20250728,FU,2869.0,628106.0,1796539.63,200979.0
20250729,FU,2917.0,591508.0,1723533.02,192439.0
20250730,FU,2956.0,483428.0,1423599.63,167652.0
20250731,FU,2933.0,403993.0,1193328.02,148798.0
20250801,FU,2916.0,400578.0,1167304.65,134911.0
20250804,FU,2846.0,516935.0,1483396.44,141877.0
20250805,FU,2842.0,333121.0,938754.78,137503.0
20250806,FU,2835.0,261759.0,738065.06,135300.0
20250807,FU,2826.0,326249.0,924411.74,134066.0
20250808,FU,2766.0,325257.0,910631.94,149091.0
20250811,FU,2760.0,420433.0,1166595.71,150765.0
20250812,FU,2770.0,227912.0,631260.24,148959.0
20250813,FU,2730.0,299227.0,816359.69,144810.0
20250814,FU,2700.0,267162.0,723568.67,133285.0
20250815,FU,2691.0,232284.0,628521.79,128629.0
20250818,FU,2713.0,235995.0,637329.71,112039.0
20250819,FU,2686.0,168082.0,450598.99,94977.0
20250820,FU,2718.0,313781.0,847724.73,122738.0
20250821,FU,2732.0,348236.0,944726.51,128858.0
20250822,FU,2779.0,630335.0,1744611.04,125789.0
20250825,FU,2907.0,842236.0,2424348.76,131409.0
20250826,FU,2880.0,375796.0,1086212.5,97383.0
20250827,FU,2821.0,361054.0,1021670.66,82271.0
20260112,FU,2461.0,855704.0,2094790.43,234365.0
20260113,FU,2461.0,604292.0,1473699.65,226172.0
20260114,FU,2586.0,1098156.0,2802564.77,244122.0
20260115,FU,2586.0,1260584.0,3303342.57,238110.0
20260116,FU,2522.0,672095.0,1704120.28,211119.0
20260119,FU,2538.0,567103.0,1449983.13,202541.0
20260120,FU,2512.0,335178.0,845410.73,199833.0
20260121,FU,2542.0,493603.0,1256023.06,191653.0
20260122,FU,2592.0,524439.0,1358201.8,184974.0
20260123,FU,2643.0,560020.0,1463401.16,186973.0
20260126,FU,2791.0,1114487.0,3048954.04,226116.0
20260127,FU,2692.0,820605.0,2208691.06,208813.0
20260128,FU,2751.0,829606.0,2258676.85,183036.0
20260129,FU,2831.0,931748.0,2613119.99,172485.0
20260130,FU,2820.0,1365437.0,3934377.63,151710.0
20260202,FU,2679.0,971532.0,2728506.7,121915.0
20260203,FU,2701.0,591744.0,1592251.17,108167.0
20260204,FU,2797.0,589785.0,1637608.04,98187.0
20260205,FU,2824.0,545609.0,1536093.7,84406.0
20260206,FU,2831.0,911307.0,2559458.51,282645.0
20260209,FU,2794.0,885775.0,2467425.75,281323.0
20260210,FU,2845.0,864242.0,2438583.61,290898.0
20260211,FU,2860.0,644288.0,1841130.32,296089.0
20260212,FU,2888.0,921044.0,2685821.22,294688.0
20260213,FU,2840.0,702038.0,2010499.86,265526.0
20260224,FU,2942.0,517988.0,1529671.91,303121.0
20260225,RB,3076.0,1150036.0,3515829.22,1988709.0
20260226,RB,3063.0,692924.0,2125127.49,1952420.0
20260227,RB,3067.0,595003.0,1820142.35,1948194.0
20260225,I,752.5,276709.0,2071208.23,528484.0
20260226,I,748.5,190394.0,1425835.93,540573.0
20260227,I,750.5,175649.0,1314675.13,546682.0
20260225,Y,8228.0,282357.0,2317395.78,664427.0
20260226,Y,8198.0,243734.0,2001823.43,659168.0
20260227,Y,8226.0,242046.0,1991468.62,666610.0
20260225,P,8848.0,389654.0,3447792.57,386410.0
20260226,P,8714.0,411133.0,3606379.43,396971.0
20260227,P,8780.0,379616.0,3324459.38,393602.0
20260225,CU,102460.0,88603.0,4524439.26,110048.0
20260226,CU,102670.0,105699.0,5428107.71,184703.0
20260227,CU,103920.0,157481.0,8096156.5,203799.0
20260225,AL,23835.0,238350.0,2824783.02,248160.0
