date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20240715,沪深300,14.0588,3.3387,10.7202,838.02,3.5246,3.5945,1.98,7
20240716,沪深300,24.1307,11.1212,13.0095,856.95,3.5257,3.6195,2.66,11
20240717,沪深300,47.8086,25.9848,21.8238,880.07,3.5284,3.625,2.74,11
20240718,沪深300,29.0391,5.9963,23.0428,908.7,3.5299,3.6475,3.33,9
20240719,沪深300,57.7273,37.0049,20.7224,935.32,3.5337,3.6705,3.87,13
20240722,沪深300,26.8499,0.1379,26.712,954.81,3.5351,3.642,3.02,4
20240723,沪深300,0.1756,0.0302,0.1454,935.81,3.5351,3.569,0.96,2
20240724,沪深300,15.9809,1.4254,14.5555,944.71,3.5352,3.5475,0.35,6
20240725,沪深300,26.0897,10.5079,15.5818,955.0,3.5351,3.5275,-0.21,9
20240726,沪深300,8.9911,0.1039,8.8871,967.97,3.5351,3.5425,0.21,3
20240729,沪深300,0.0,0.0,0.0,962.09,3.5351,3.521,-0.4,0
20240730,沪深300,17.2605,0.4198,16.8407,973.1,3.5347,3.4995,-0.99,6
20240731,沪深300,16.151,1.2865,14.8645,1009.4,3.5347,3.576,1.17,9
20240801,沪深300,0.2966,0.0,0.2966,1002.36,3.5347,3.55,0.43,2
20240802,沪深300,0.0,0.2122,-0.2122,991.84,3.5347,3.5135,-0.6,1
20240805,沪深300,20.6364,8.8882,11.7482,992.25,3.5342,3.4735,-1.72,7
20240806,沪深300,6.0828,0.3455,5.7373,998.01,3.534,3.4735,-1.71,3
20240807,沪深300,0.6079,0.0,0.6079,996.74,3.534,3.467,-1.9,1
20240808,沪深300,4.4339,1.6357,2.7982,1000.83,3.5339,3.4715,-1.76,4
20240809,沪深300,0.0,0.0,0.0,997.22,3.5339,3.459,-2.12,0
20240812,沪深300,0.0,0.0,0.0,996.21,3.5339,3.4555,-2.22,0
20240813,沪深300,0.0,0.0,0.0,997.51,3.5339,3.46,-2.09,0
20240814,沪深300,0.0,0.0,0.0,990.45,3.5339,3.4355,-2.78,0
20240815,沪深300,35.6319,2.0429,33.589,1035.53,3.5326,3.475,-1.63,7
20240816,沪深300,10.8414,8.0399,2.8014,1038.78,3.5323,3.4765,-1.58,4
20240819,沪深300,2.7924,0.036,2.7564,1044.07,3.5323,3.485,-1.34,2
20240820,沪深300,20.3707,4.5834,15.7872,1054.65,3.5316,3.4675,-1.81,6
20240821,沪深300,17.5853,1.3097,16.2756,1066.8,3.5309,3.454,-2.18,3
20240822,沪深300,22.0212,6.4418,15.5795,1079.73,3.53,3.4455,-2.39,7
20240823,沪深300,8.4532,0.0,8.4532,1092.42,3.5297,3.459,-2.0,2
20240826,沪深300,29.9799,0.1685,29.8115,1122.28,3.5286,3.459,-1.97,6
20240827,沪深300,22.9641,0.0,22.9641,1140.24,3.5277,3.4435,-2.39,2
20240828,沪深300,44.4169,2.4792,41.9377,1176.12,3.5254,3.425,-2.85,9
20240829,沪深300,15.6738,8.1968,7.477,1179.3,3.5246,3.4125,-3.18,10
20240830,沪深300,19.217,4.7611,14.4558,1209.13,3.524,3.457,-1.9,14
20240902,沪深300,0.5102,5.4192,-4.9089,1182.92,3.524,3.396,-3.63,7
20240903,沪深300,19.9543,4.9734,14.9809,1202.61,3.523,3.4095,-3.22,6
20240904,沪深300,0.2882,0.3813,-0.0931,1194.41,3.5229,3.3865,-3.87,5
20240905,沪深300,28.2723,2.3005,25.9718,1222.34,3.5212,3.392,-3.67,9
20240906,沪深300,0.5274,2.3264,-1.799,1210.27,3.5212,3.3635,-4.48,5
20240909,沪深300,0.0,5.1873,-5.1873,1190.71,3.5212,3.3235,-5.61,7
20240910,沪深300,4.3196,1.565,2.7546,1193.47,3.5208,3.3235,-5.6,5
20240911,沪深300,0.0,1.1161,-1.1161,1189.66,3.5208,3.316,-5.82,2
20240912,沪深300,0.0,0.0,0.0,1185.89,3.5208,3.3055,-6.12,0
20240913,沪深300,0.3771,0.566,-0.189,1180.5,3.5208,3.291,-6.53,4
20240918,沪深300,11.9781,2.3758,9.6023,1185.09,3.5194,3.277,-6.89,10
20240919,沪深300,12.3258,9.2807,3.0451,1198.48,3.5182,3.3055,-6.05,8
20240920,沪深300,52.138,17.0939,35.0441,1237.58,3.5131,3.316,-5.61,12
20240923,沪深300,1.3845,0.1879,1.1967,1240.82,3.513,3.3215,-5.45,3
20240924,沪深300,65.9694,33.6214,32.348,1328.93,3.5103,3.4695,-1.16,15
20240925,沪深300,41.6782,38.3091,3.3691,1350.26,3.5109,3.5165,0.16,17
20240926,沪深300,92.9759,28.5318,64.4441,1479.68,3.5145,3.683,4.79,16
20240927,沪深300,44.4475,33.739,10.7085,1589.44,3.5194,3.9305,11.68,14
20240930,沪深300,113.7168,124.5543,-10.8375,1717.34,3.542,4.282,20.89,17
20241008,沪深300,137.6131,233.6733,-96.0602,1701.2,3.5789,4.4815,25.22,17
20241009,沪深300,45.5367,149.9051,-104.3684,1448.21,3.5871,4.079,13.71,17
20241010,沪深300,77.4143,36.8407,40.5736,1509.35,3.5998,4.1375,14.94,17
20241011,沪深300,32.9354,69.3159,-36.3804,1431.8,3.604,4.023,11.63,17
20241014,沪深300,31.2289,23.4538,7.7751,1463.78,3.6082,4.091,13.38,13
20241015,沪深300,6.2587,14.1762,-7.9175,1417.53,3.609,3.984,10.39,7
20241016,沪深300,4.1195,0.877,3.2425,1410.78,3.6094,3.956,9.6,3
20241017,沪深300,0.0,22.6191,-22.6191,1372.37,3.6094,3.9115,8.37,3
20241018,沪深300,36.4139,11.806,24.6079,1450.6,3.6138,4.0635,12.44,10
20241021,沪深300,4.1967,0.4401,3.7567,1455.41,3.6144,4.0665,12.51,3
20241022,沪深300,0.0,0.0,0.0,1463.46,3.6144,4.089,13.13,0
20241023,沪深300,1.3059,0.0,1.3059,1470.48,3.6146,4.105,13.57,1
20241024,沪深300,0.0,0.0,0.0,1454.72,3.6146,4.061,12.35,0
