ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
127061.SZ,000723.SZ,5.26,20280420,20220530,美锦转债,100.0
127062.SZ,002398.SZ,7.59,20280421,20220520,垒知转债,100.0
113647.SH,603609.SH,10.09,20280422,20220518,禾丰转债,100.0
110086.SH,600496.SH,4.79,20280422,20220523,精工转债,100.0
113648.SH,603477.SH,25.04,20280425,20220517,巨星转债,100.0
123146.SZ,300692.SZ,6.23,20280506,20220526,中环转2,100.0
127064.SZ,002430.SZ,25.97,20280519,20220705,杭氧转债,100.0
113059.SH,601865.SH,41.71,20280520,20220613,福莱转债,100.0
123149.SZ,300185.SZ,2.71,20280620,20220715,通裕转债,100.0
111005.SH,605189.SH,11.98,20280623,20220725,富春转债,100.0
110087.SH,600075.SH,5.6,20280623,20220719,天业转债,100.0
118008.SH,688680.SH,46.8,20280623,20220721,海优转债,100.0
118009.SH,688059.SH,61.89,20280624,20220721,华锐转债,100.0
113649.SH,603810.SH,13.73,20280627,20220721,丰山转债,100.0
118010.SH,688026.SH,47.95,20280628,20220802,洁特转债,100.0
123150.SZ,300406.SZ,16.48,20280630,20220720,九强转债,100.0
123151.SZ,300869.SZ,27.55,20280701,20220720,康医转债,100.0
113650.SH,603916.SH,23.15,20280701,20220728,博22转债,100.0
118011.SH,688689.SH,31.3,20280704,20220802,银微转债,100.0
118012.SH,688321.SH,25.26,20280705,20220728,微芯转债,100.0
118013.SH,688208.SH,21.98,20280708,20220728,道通转债,100.0
127066.SZ,002850.SZ,148.7,20280708,20220803,科利转债,100.0
113651.SH,603992.SH,15.3,20280720,20220817,松霖转债,100.0
118015.SH,688595.SH,55.22,20280721,20220818,芯海转债,100.0
127067.SZ,000703.SZ,10.37,20280721,20220818,恒逸转2,100.0
113652.SH,603568.SH,27.27,20280722,20220812,伟22转债,100.0
113653.SH,603681.SH,16.5,20280728,20220826,永22转债,100.0
113654.SH,603901.SH,9.69,20280804,20220901,永02转债,100.0
113655.SH,603833.SH,52.77,20280805,20220901,欧22转债,100.0
118016.SH,688096.SH,6.91,20280805,20220825,京源转债,100.0
123154.SZ,300894.SZ,33.03,20280805,20220823,火星转债,100.0
