trade_date,ts_code,close,vol,amount,pct_chg,pre_close,open,high,low
20251125,113655.SH,130.116,28365.0,3701.5454,0.1023,129.983,130.3,131.373,129.92
20251125,118031.SH,130.334,185672.0,24222.2351,0.3125,129.928,130.243,131.16,129.668
20251125,113643.SH,130.415,39698.0,5190.4068,-0.0031,130.419,130.5,131.439,130.001
20251125,113618.SH,130.425,6695.0,872.0025,0.8124,129.374,129.384,130.6,129.374
20251125,123121.SZ,130.5,9924.1,1297.4463,-0.0337,130.544,130.301,131.181,130.301
20251125,111000.SH,130.585,24479.0,3208.4993,-0.6671,131.462,131.586,131.978,130.4
20251125,127062.SZ,130.741,246085.9,32121.2338,2.5452,127.496,127.496,133.17,127.496
20251125,128138.SZ,130.78,27811.0,3641.2441,-0.3125,131.19,131.3,131.317,130.65
20251125,128142.SZ,130.781,24092.0,3148.4474,0.0054,130.774,131.589,131.846,130.166
20251125,123224.SZ,130.924,14078.8,1848.5631,0.0,130.924,131.122,132.066,130.574
20251125,113691.SH,130.948,101707.0,13292.8726,1.076,129.554,129.748,131.188,129.392
20251125,123178.SZ,131.014,19568.0,2575.0199,-0.3036,131.413,131.613,132.26,131.003
20251125,113665.SH,131.057,46486.0,6055.7969,1.4734,129.154,129.348,131.5,129.0
20251125,123126.SZ,131.138,18002.9,2363.0428,-0.0473,131.2,131.207,131.698,130.772
20251125,118006.SH,131.155,24742.0,3241.7146,0.5512,130.436,130.399,131.747,130.396
20251125,123177.SZ,131.16,34144.8,4498.0626,0.352,130.7,131.386,132.44,130.631
20251125,118036.SH,131.247,23246.0,3056.04,0.5763,130.495,130.5,132.113,130.5
20251125,123107.SZ,131.3,89318.1,11735.7577,0.3777,130.806,130.8,131.983,130.492
20251125,118025.SH,131.385,27880.0,3681.2098,-0.1285,131.554,131.645,132.85,131.054
20251125,123119.SZ,131.437,37085.9,4886.46,-0.0479,131.5,131.5,132.208,131.106
20251125,110067.SH,131.541,53584.0,7092.0168,-0.101,131.674,132.008,133.099,131.418
20251125,113688.SH,131.584,9807.0,1292.2736,0.1781,131.35,131.444,132.108,131.093
20251125,113631.SH,131.703,59320.0,7799.2352,0.4707,131.086,131.498,131.817,131.03
20251125,127040.SZ,131.903,108801.1,14368.2861,1.0759,130.499,130.799,132.898,130.799
20251125,118044.SH,131.96,8216.0,1087.2868,0.0728,131.864,131.751,132.938,131.704
20251125,118024.SH,132.002,61817.0,8169.0147,-0.0492,132.067,132.265,132.904,131.365
20251125,110070.SH,132.015,31607.0,4184.4496,-0.5724,132.775,132.74,133.188,131.856
20251125,123189.SZ,132.054,34407.1,4551.1248,0.0038,132.049,132.12,132.78,131.432
20251125,123088.SZ,132.14,33915.0,4495.3453,0.3958,131.619,132.0,133.202,131.826
20251125,110075.SH,132.265,95753.0,12701.8397,-0.9162,133.488,133.488,134.147,131.542
20251125,113597.SH,132.42,16648.0,2208.1684,0.5788,131.658,131.7,133.291,131.7
20251125,113046.SH,132.509,39947.0,5322.7824,-0.1168,132.664,132.7,133.765,132.32
20251125,111003.SH,132.511,14734.0,1952.4698,0.1777,132.276,132.35,132.939,132.076
20251125,123149.SZ,132.679,31655.2,4223.1306,-0.8578,133.827,133.7,134.311,132.5
20251125,127105.SZ,132.912,36961.0,4927.9629,-0.0804,133.019,133.138,134.216,132.063
20251125,113053.SH,133.059,256632.0,34074.2538,1.0587,131.665,132.1,133.448,131.603
20251125,111018.SH,133.095,19378.0,2586.3292,-0.0278,133.132,133.263,134.344,132.84
20251125,123076.SZ,133.1,42498.0,5685.5442,-0.4361,133.683,133.637,134.499,132.901
20251125,113680.SH,133.139,27197.0,3625.086,1.1034,131.686,131.884,134.0,131.884
20251125,128116.SZ,133.319,36910.0,4931.8471,-0.3707,133.815,134.013,134.699,132.9
20251125,127050.SZ,133.355,27396.4,3661.5449,-0.0936,133.48,133.777,134.495,133.027
20251125,111020.SH,133.446,12669.0,1694.359,0.039,133.394,133.597,134.198,133.208
20251125,113574.SH,133.471,21004.0,2804.336,0.6576,132.599,132.989,134.05,132.5
20251125,128141.SZ,133.49,23629.0,3166.3975,0.0487,133.425,133.682,134.56,133.208
20251125,113623.SH,133.499,68129.0,9143.85,-0.2674,133.857,134.08,135.444,133.13
20251125,127047.SZ,133.5,50274.8,6712.4271,0.0052,133.493,133.236,134.06,132.873
20251125,118038.SH,133.502,21865.0,2925.0523,-0.1765,133.738,133.588,134.599,133.121
20251125,113653.SH,133.746,35059.0,4694.1458,-0.0366,133.795,133.888,134.408,133.205
20251125,123215.SZ,133.928,21146.5,2843.4477,-0.5805,134.71,134.443,135.253,133.761
20251125,128137.SZ,133.976,19206.8,2584.8325,-0.3155,134.4,134.145,135.3,133.784
20251125,123124.SZ,134.32,45753.7,6157.2183,0.2919,133.929,133.888,135.412,133.1
20251125,113640.SH,134.381,27936.0,3765.7576,-0.0937,134.507,135.006,135.312,134.2
20251125,123195.SZ,134.432,14478.2,1945.872,0.2947,134.037,134.55,135.193,133.492
20251125,123114.SZ,134.5,71461.4,9642.3074,-0.5178,135.2,134.4,135.881,133.946
20251125,113696.SH,134.761,33057.0,4469.336,0.7506,133.757,134.388,136.0,134.0
20251125,123225.SZ,134.9,84701.1,11491.5531,-0.6627,135.8,135.4,136.599,134.713
20251125,127099.SZ,134.968,35740.5,4842.2889,-0.2962,135.369,135.23,136.602,134.636
20251125,127095.SZ,134.999,24219.6,3275.4072,-0.6462,135.877,136.02,136.125,134.803
20251125,111023.SH,135.033,7625.0,1032.8748,-0.1944,135.296,135.652,135.991,134.987
20251125,118035.SH,135.058,12014.0,1629.5948,-0.1036,135.198,135.221,136.415,134.81
20251125,123198.SZ,135.336,30395.0,4121.9815,0.3158,134.91,134.908,136.151,134.509
20251125,113043.SH,135.404,62606.0,8515.2896,-0.5874,136.204,136.5,136.927,135.119
20251125,111013.SH,135.626,64224.0,8700.7322,1.1915,134.029,133.89,136.7,133.89
20251125,118039.SH,135.676,26609.0,3613.3424,0.436,135.087,135.271,136.4,134.5
20251125,113045.SH,135.715,131628.0,17928.0794,1.0709,134.277,134.721,136.97,134.721
20251125,128136.SZ,135.875,111991.5,15260.5502,0.9473,134.6,134.873,137.134,134.873
20251125,127045.SZ,135.9,64305.0,8769.5232,0.1481,135.699,135.998,137.179,135.209
20251125,123133.SZ,135.99,41666.0,5667.3805,0.9952,134.65,135.835,136.747,134.533
20251125,127078.SZ,136.0,47527.3,6468.5861,0.3423,135.536,135.528,136.591,135.236
20251125,113644.SH,136.067,131166.0,17838.2142,1.8679,133.572,133.71,136.953,133.683
20251125,113657.SH,136.178,57974.0,7869.7321,1.4565,134.223,134.32,136.698,134.1
20251125,127094.SZ,136.26,29733.7,4054.8093,0.2575,135.91,135.8,137.0,135.426
20251125,123129.SZ,136.37,10470.0,1429.0622,0.1314,136.191,136.5,136.901,136.0
20251125,123199.SZ,136.599,61426.0,8360.9083,1.752,134.247,134.453,136.96,134.006
20251125,123092.SZ,136.6,20460.0,2794.8347,0.1731,136.364,136.603,137.2,135.8
20251125,113678.SH,136.677,23917.0,3277.0357,-0.1155,136.835,136.999,137.689,136.403
