trade_date,heavy_nav,light_nav,relative_strength,rs_ma20,rs_ma60
2025-11-14,103.33875185574328,108.32780466877263,95.39448544324878,94.23262502249528,95.79728020090103
2025-11-17,102.44344255771426,107.58714078932887,95.21903993927424,94.23625561216899,95.72912808937905
2025-11-18,102.45888273604413,106.96307854150258,95.78901816694554,94.29952792591921,95.6735686879445
2025-11-19,102.05555479598405,106.95551038747755,95.41869738759418,94.32617598913394,95.61072235066415
2025-11-20,100.8140923437579,105.25683011448737,95.7791453857226,94.34349457554372,95.55083542946639
2025-11-21,101.89232971935611,106.90107541228357,95.31459746909906,94.3576230218028,95.48637189146784
2025-11-24,102.22710307716223,108.27801598919197,94.41168841454046,94.37221013582312,95.40091500950557
2025-11-25,102.67922858050176,109.86035005933215,93.4634092509699,94.37700862508748,95.29995814042451
2025-11-26,103.6912464481608,110.35305716237114,93.96318426918768,94.40237604452288,95.23194838135785
2025-11-28,104.51943695671244,110.8214506494911,94.31336293123357,94.41751467458268,95.17599761985386
2025-12-01,103.71167829481969,110.33373160703141,93.99816065698107,94.45711166744681,95.12661153409826
2025-12-02,103.17341266825717,110.52525830132822,93.34826649938469,94.48058794256399,95.07517370500469
2025-12-03,104.01111415882997,110.99630042619881,93.70682965058526,94.50526910116554,95.0389405768978
2025-12-04,104.05149264584053,110.94808456073737,93.78394684126215,94.54852605751174,94.98181787093222
2025-12-05,103.53621032541139,111.51268095286086,92.8470281950971,94.4897555591032,94.91689625753015
2025-12-08,102.50407675689483,110.75838008344208,92.54746835379075,94.35850933857188,94.85523208332387
2025-12-09,102.44064740057593,110.58948774020271,92.63145122909867,94.27028726042981,94.80609645591612
2025-12-10,103.67977971137232,111.69728077675887,92.82211616108135,94.19251388597829,94.76257944669268
2025-12-11,104.54499367139275,111.86836009522254,93.45358560937504,94.15642798766497,94.72796973937143
2025-12-12,104.0078619796029,111.20425482144849,93.52867131442025,94.08670765844462,94.69749448096702
2025-12-15,104.08650799633534,111.54868221197387,93.31038783456151,93.98250277801024,94.67204177473818
2025-12-16,102.94332395513992,111.29943507397182,92.49222503844851,93.84616203296898,94.631387126602
2025-12-17,103.0431421933971,110.10344111210712,93.58757651223523,93.73608995023345,94.59427181663635
2025-12-18,103.07692912862258,111.1259669899848,92.75683435709708,93.60299679870859,94.53753851249992
2025-12-19,103.08229447919284,111.81598598957846,92.18922819211232,93.42350093902807,94.46509678899942
2025-12-22,104.04004101453059,112.44472554916788,92.52549686649175,93.28404590889771,94.39479414393085
2025-12-23,104.34050078651278,112.67887574820448,92.59987738932995,93.19345535763719,94.33567313794293
2025-12-24,104.51730647845976,113.15979594237007,92.36257949041217,93.13841386960931,94.28051577852229
2025-12-26,104.50422884929608,113.0962210932626,92.40293604780896,93.06040145854038,94.24057830190542
2025-12-29,104.53662023989139,112.62735707658629,92.81636624821692,92.98555162438954,94.20425339303618
2025-12-30,104.71798789905813,112.49633698126087,93.08568679574125,92.93992793132755,94.16419195112222
2025-12-31,103.96868075718024,111.6996054512005,93.07882542396467,92.92645587755655,94.12253939093287
2026-01-02,105.74441078357249,111.44881639770385,94.88159156955489,92.98519397350502,94.10136846959819
2026-01-05,106.75130823283223,112.08926626299525,95.23776164468902,93.05788471367637,94.08738462511215
2026-01-06,107.05898023193153,113.11588022769207,94.64540258753364,93.14780343329821,94.07574950956933
2026-01-07,105.13460987511564,113.2768139830956,92.81211765966951,93.16103589859213,94.02338894843392
2026-01-08,106.70737735488353,113.12817176770682,94.32431876826622,93.24567927555051,93.99893343912156
2026-01-09,107.8322155292538,113.80494807328783,94.75178131957169,93.34216253347503,93.96875159511208
2026-01-12,108.03760769702939,113.88045813350188,94.86931249466618,93.41294887773958,93.94698477636413
2026-01-13,108.85487299682725,113.47271194305752,95.93044101338869,93.533037362688,93.94934965944655
2026-01-14,109.73288883374266,112.82179231707418,97.26213932619466,93.73062493726967,93.9819175792584
2026-01-15,110.12712619843157,112.80839837096788,97.62316262684716,93.9871718166896,94.02319648727584
2026-01-16,110.06226895527867,112.27414820659156,98.02993005367281,94.20928949376147,94.08163578997137
2026-01-20,108.90002066887928,110.33647607149497,98.69811375733542,94.5063534637734,94.14517541720531
2026-01-21,110.66966493774582,112.04146231013769,98.77563417675267,94.83567376300542,94.2008897591924
2026-01-22,110.57495696019697,112.93452253463676,97.91067822178456,95.10493283077005,94.24886725382353
2026-01-23,110.6745508589532,113.12107689325117,97.83725004969084,95.36680146378811,94.3108223190828
2026-01-26,110.95496420066446,113.43611527861728,97.81273268054119,95.63930912329455,94.38491053933043
2026-01-27,111.66277971254664,113.21766181369901,98.62664351458614,95.95049449663341,94.47109066656554
2026-01-28,111.64042915640786,112.98609615046533,98.80899770865132,96.25012606965512,94.55106412287577
2026-01-29,112.22026605209776,113.05182260860687,99.26444657209285,96.5590640584727,94.65203455241569
2026-01-30,111.98778050873108,112.7094356016516,99.35972078196623,96.87310882637277,94.76005088216445
2026-02-02,111.5959313270755,113.24353778970881,98.54507683635522,97.0562830897128,94.84891538812778
2026-02-03,113.74272328544643,111.64698098378966,101.87711506678451,97.38825076081757,94.99822051066856
2026-02-04,115.02605005190038,110.7898462308084,103.82363904745088,97.84716258381344,95.16157385873827
2026-02-05,113.75249605191054,109.33914704281158,104.03638507200988,98.40837595443045,95.30930706386484
2026-02-06,115.87506247536965,110.9632817400393,104.4264919514885,98.91348461359158,95.47648371652396
2026-02-09,116.64181585654067,111.32033460295412,104.78033170899698,99.41491213306283,95.64986285083872
2026-02-10,117.54024362878748,111.34010623692996,105.56864691566194,99.94987885411263,95.83975190650573
2026-02-11,119.12814794952722,111.25392284576228,107.07770557868905,100.50724208237764,96.04232903450341
2026-02-12,118.2291096692335,109.5893650970865,107.8837436137101,101.03832229675342,96.25048333734443
2026-02-13,119.76850475003786,109.95017850702804,108.92979563683221,101.60365394725265,96.47899593230373
2026-02-17,119.17070127526945,109.80540263253664,108.52899622259366,102.12860725569871,96.69132889989787
2026-02-18,119.42258625028717,110.41771549183288,108.1552771838685,102.60146542702537,96.90360522983579
2026-02-19,120.08656426234012,110.15693797207685,109.01407253420597,103.11338734489803,97.12418734897717
2026-02-20,120.29248411899755,110.89682465790818,108.47243326404778,103.6414750970112,97.34348461222632
2026-02-23,120.2619157372848,109.81246958111137,109.5157191128054,104.22539855016691,97.5952184571974
2026-02-24,121.17029738736302,110.66274515730066,109.49511257390776,104.80951754483524,97.86241351257969
2026-02-25,120.73853388189697,111.3510323230233,108.43054739864559,105.2997127390382,98.103536231404
2026-02-26,120.8780822220984,110.93187855277516,108.9660463692512,105.80756517206821,98.34774762203762
2026-02-27,122.02378309422497,111.25233181555683,109.68200046047207,106.32844286648717,98.60914495209582
2026-03-02,122.6195496765869,110.73195132552367,110.73547265153553,106.89723045996564,98.89893172129833
2026-03-03,120.79128295264303,109.77949173009094,110.03082729661948,107.47151798297884,99.17099834873223
2026-03-04,120.82270784081008,110.9833995667572,108.86556756457482,107.82094060786838,99.42235869412077
2026-03-05,119.43210446123382,110.45030795646909,108.13197959421232,108.03635763520644,99.67710788410601
2026-03-06,118.4364782828216,108.93244837147688,108.7247005400397,108.27077340860792,99.94672842054351
2026-03-09,118.6271004293076,109.76132345898112,108.0773233147464,108.45331497677083,100.20415962197097
2026-03-10,117.83498947325552,109.48497817807232,107.62662735485253,108.5956297590636,100.45090147520048
2026-03-11,118.20705302026413,109.40175729968917,108.048587095776,108.71962676806932,100.69415149997384
2026-03-12,117.85817717677065,107.37885430232448,109.75920533193779,108.85370175573173,100.96466040026579
